"","DATASET","Effect_Size","Variance","Pooled_SD"
"1","FD001",-0.359269589685149,0.0589700996677741,5.87717624395889
"2","FD002",-0.547681543380549,0.0757363253856942,5.79596781861034
"3","FD003",-0.169621121564459,0.0757575757575758,2.95417754858134
"4","FD004",-0.395411973505751,0.071256038647343,5.31395259597829
